Serial_Number,Product_Code,Product_Family,RIQD_Connected
600150,,KO OLINA,
600267,,KO OLINA,
600486,,KO OLINA,
600509,,KO OLINA,
600569,,KO OLINA,
600619,,KO OLINA,
600675,,KO OLINA,
600683,,KO OLINA,
600727,,KO OLINA,
600817,,KO OLINA,
600819,,KO OLINA,
600841,,KO OLINA,
600873,,KO OLINA,
600874,,KO OLINA,
600888,,KO OLINA,
600889,,KO OLINA,
600890,,KO OLINA,
600022,,KO OLINA,
600023,,KO OLINA,
600040,,KO OLINA,
600041,,KO OLINA,
600067,,KO OLINA,
600070,,KO OLINA,
600071,,KO OLINA,
600073,,KO OLINA,
600096,,KO OLINA,
600097,,KO OLINA,
600126,,KO OLINA,
600132,,KO OLINA,
600139,,KO OLINA,
600140,,KO OLINA,
600141,,KO OLINA,
600159,,KO OLINA,
600162,,KO OLINA,
600171,,KO OLINA,
600176,,KO OLINA,
600196,,KO OLINA,
600198,,KO OLINA,
600203,,KO OLINA,
600210,,KO OLINA,
600231,,KO OLINA,
600233,,KO OLINA,
600241,,KO OLINA,
600247,,KO OLINA,
600249,,KO OLINA,
600258,,KO OLINA,
600260,,KO OLINA,
600275,,KO OLINA,
600371,,KO OLINA,
600372,,KO OLINA,
600414,,KO OLINA,
600415,,KO OLINA,
600690,,KO OLINA,
600708,,KO OLINA,
600853,,KO OLINA,
600886,,KO OLINA,
600903,,KO OLINA,
600905,,KO OLINA,
600910,,KO OLINA,
600016,,KO OLINA,
640014,,KO OLINA 2,Y
640029,,KO OLINA 2,
640049,,KO OLINA 2,
640050,,KO OLINA 2,
210008,,DOPPO,
210022,,DOPPO,
210024,,DOPPO,
210036,,DOPPO,
210038,,DOPPO,
210077,,DOPPO,
210119,,DOPPO,
210121,,DOPPO,
210123,,DOPPO,
210125,,DOPPO,
210140,,DOPPO,
210159,,DOPPO,
210160,,DOPPO,
210177,,DOPPO,
210183,,DOPPO,
210184,,DOPPO,
210196,,DOPPO,
210200,,DOPPO,
210205,,DOPPO,
210238,,DOPPO,
210239,,DOPPO,
210240,,DOPPO,
210250,,DOPPO,
210251,,DOPPO,
210261,,DOPPO,
210291,,DOPPO,
210311,,DOPPO,
210314,,DOPPO,
210362,,DOPPO,
600007,,SHINGI,
600015,,SHINGI,
600018,,SHINGI,
600043,,SHINGI,
600047,,SHINGI,
600063,,SHINGI,
600065,,SHINGI,Y
600067,,SHINGI,
620013,,SHINGI,Y
620015,,SHINGI,Y
620022,,SHINGI,Y
620023,,SHINGI,Y
620028,,SHINGI,Y
620056,,SHINGI,
620064,,SHINGI,Y
620098,,SHINGI,
620100,,SHINGI,Y
620117,,SHINGI,
620128,,SHINGI,
620129,,SHINGI,
620130,,SHINGI,
620147,,SHINGI,
600005,,IROHA HIGH,
600006,,IROHA HIGH,
600048,,IROHA HIGH,
600232,,IROHA HIGH,
600233,,IROHA HIGH,
600354,,IROHA HIGH,
600504,,IROHA HIGH,
600507,,IROHA HIGH,
600513,,IROHA HIGH,
600563,,IROHA HIGH,
600564,,IROHA HIGH,
600565,,IROHA HIGH,
600594,,IROHA HIGH,
600603,,IROHA HIGH,
600604,,IROHA HIGH,
600605,,IROHA HIGH,
600610,,IROHA HIGH,
600614,,IROHA HIGH,
600615,,IROHA HIGH,
600618,,IROHA HIGH,
600808,,IROHA HIGH,
600809,,IROHA HIGH,
600849,,IROHA HIGH,
600850,,IROHA HIGH,
600860,,IROHA HIGH,
600861,,IROHA HIGH,
600898,,IROHA HIGH,
600969,,IROHA HIGH,
601003,,IROHA HIGH,
610011,,IROHA HIGH,
610030,,IROHA HIGH,
610032,,IROHA HIGH,
610036,,IROHA HIGH,
610040,,IROHA HIGH,
610042,,IROHA HIGH,
610047,,IROHA HIGH,
610050,,IROHA HIGH,
610052,,IROHA HIGH,
610053,,IROHA HIGH,
610055,,IROHA HIGH,
610056,,IROHA HIGH,
610060,,IROHA HIGH,
610078,,IROHA HIGH,
610079,,IROHA HIGH,
610080,,IROHA HIGH,
610081,,IROHA HIGH,
610083,,IROHA HIGH,
610084,,IROHA HIGH,
610086,,IROHA HIGH,
610158,,IROHA HIGH,
610159,,IROHA HIGH,
610161,,IROHA HIGH,
610184,,IROHA HIGH,
610187,,IROHA HIGH,
610269,,IROHA HIGH,
610275,,IROHA HIGH,
610280,,IROHA HIGH,
610282,,IROHA HIGH,
610283,,IROHA HIGH,
610309,,IROHA HIGH,
610310,,IROHA HIGH,
610378,,IROHA HIGH,
610383,,IROHA HIGH,
610455,,IROHA HIGH,
610462,,IROHA HIGH,
610463,,IROHA HIGH,
610465,,IROHA HIGH,
610510,,IROHA HIGH,
610523,,IROHA HIGH,
610526,,IROHA HIGH,
610529,,IROHA HIGH,
610534,,IROHA HIGH,
610535,,IROHA HIGH,
610563,,IROHA HIGH,
610565,,IROHA HIGH,
610615,,IROHA HIGH,
610632,,IROHA HIGH,
610639,,IROHA HIGH,
610652,,IROHA HIGH,
610663,,IROHA HIGH,
610672,,IROHA HIGH,
610678,,IROHA HIGH,
200024,,SHINNE HIGH,
200035,,SHINNE HIGH,Y
200039,,SHINNE HIGH,Y
200124,,SHINNE HIGH,Y
200150,,SHINNE HIGH,
200169,,SHINNE HIGH,
200176,,SHINNE HIGH,Y
200177,,SHINNE HIGH,
200182,,SHINNE HIGH,Y
200221,,SHINNE HIGH,
200224,,SHINNE HIGH,
200284,,SHINNE HIGH,
200290,,SHINNE HIGH,
200291,,SHINNE HIGH,
200292,,SHINNE HIGH,
200295,,SHINNE HIGH,
200304,,SHINNE HIGH,
200308,,SHINNE HIGH,
200325,,SHINNE HIGH,Y
200327,,SHINNE HIGH,
200339,,SHINNE HIGH,
200404,,SHINNE HIGH,
200012,,SHINNE HIGH,
200018,,SHINNE HIGH,Y
200023,,SHINNE HIGH,Y
200026,,SHINNE HIGH,Y
200036,,SHINNE HIGH,Y
200049,,SHINNE HIGH,
200121,,SHINNE HIGH,
200122,,SHINNE HIGH,
200136,,SHINNE HIGH,
200137,,SHINNE HIGH,
200140,,SHINNE HIGH,
200141,,SHINNE HIGH,
200178,,SHINNE HIGH,Y
200190,,SHINNE HIGH,
200228,,SHINNE HIGH,Y
200306,,SHINNE HIGH,
200323,,SHINNE HIGH,
200330,,SHINNE HIGH,Y
200335,,SHINNE HIGH,
200346,,SHINNE HIGH,
200374,,SHINNE HIGH,
200375,,SHINNE HIGH,Y
200380,,SHINNE HIGH,
200384,,SHINNE HIGH,
200392,,SHINNE HIGH,
200407,,SHINNE HIGH,
